Algorithm ,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
FindMin,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
LinearSearch,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
SelectionSort,5000049990,5000049991,5000049992,5000049985,5000049986,5000049982,5000049989,5000049988,5000049985,5000049983,5000049985,5000049987,5000049986,5000049987,5000049986,5000049982,5000049989,5000049989,5000049987,5000049986,5000049989,5000049982,5000049985,5000049989,5000049988,5000049991,5000049991,5000049986,5000049983,5000049981,5000049992,5000049985,5000049987,5000049984,5000049991,5000049993,5000049986,5000049987,5000049993,5000049979,5000049986,5000049989,5000049981,5000049990,5000049985,5000049987,5000049990,5000049991,5000049992,5000049992,5000049989,5000049988,5000049989,5000049989,5000049991,5000049992,5000049986,5000049987,5000049987,5000049989,5000049994,5000049993,5000049985,5000049984,5000049991,5000049993,5000049988,5000049988,5000049989,5000049991,5000049990,5000049992,5000049988,5000049992,5000049990,5000049993,5000049983,5000049986,5000049995,5000049987,5000049989,5000049990,5000049989,5000049986,5000049992,5000049989,5000049983,5000049990,5000049989,5000049990,5000049989,5000049988,5000049994,5000049989,5000049989,5000049983,5000049989,5000049985,5000049992,5000049988
InsertionSort,4992994489,5002350982,4989771806,5001224455,5006395583,5005618293,5014763048,5008741812,4979196623,5003177921,5011572663,4996555822,5002733632,5009146365,4990648744,4997348736,4992271271,4978433374,4998504727,5010778278,4998234226,4981651511,5008985748,5021224185,5018243257,5014067273,4995013577,4999234200,5003395830,4983540999,5017401238,4987996927,5021625828,4997454636,5002086641,5009406129,4988608538,5001240708,4993337171,5007051930,4991978632,4992155282,5010342394,5005369950,4987863171,4994655009,5007282296,4997574888,5010053062,4992508761,4998742276,4980802926,5009660726,5005254625,4983744557,5011824722,4982995290,5020678530,5000274933,4991865945,5000292343,5012840057,5014134820,4998339311,4988463796,5008797723,5001498381,4988393969,4998960024,5009798081,4991132309,5003361011,4995657650,5008587074,4998163963,4996888256,4990843077,5001603821,4979979046,5011430557,4997558660,5013991910,5003738981,5003748739,5004289852,5007545097,4990344905,5026493402,5010056071,4978345702,5003048618,4994567466,4995222004,4981176928,5015612087,4993261348,4993482177,4998717057,4992658781,4994596923
BubbleSort,7500824564,7499097008,7506286020,7500832573,7501224562,7485799558,7492546017,7499815113,7502019987,7505766929,7493948110,7496717190,7496613763,7503794084,7493127936,7494838287,7505439176,7499458364,7507474247,7495841406,7503436192,7496972351,7509439684,7495713471,7496149351,7509325683,7491156460,7505615327,7499700930,7505606760,7507075437,7502864017,7497116575,7505302674,7504987532,7494851834,7500980728,7503173645,7499172136,7509923434,7500002337,7494476288,7493570200,7500664863,7504975461,7501968716,7495730297,7501184154,7500367197,7501713676,7492537278,7497365046,7501333363,7496014900,7502267679,7497918090,7502667800,7494441641,7504807832,7500860432,7500014480,7500552740,7509064573,7506118510,7503593674,7504478810,7499050158,7494633557,7503005453,7498490403,7492665604,7494841151,7497177071,7490463689,7494124296,7508455177,7503045890,7500649482,7493265200,7498943995,7504478373,7501355835,7503171539,7500764485,7493448899,7504171225,7501627384,7504288830,7500040382,7496636071,7505458977,7506804548,7502561721,7503355937,7498228840,7498043066,7506964722,7503341881,7501740493,7490307126
MergeSort,1536717,1536075,1536281,1536214,1536432,1536177,1536556,1536553,1535950,1536493,1536245,1536543,1536376,1536408,1536286,1536189,1536415,1536590,1536318,1536622,1536491,1536574,1536461,1536709,1536228,1536565,1536484,1536252,1536089,1536581,1536503,1536438,1535838,1536198,1536524,1536232,1536200,1536142,1536271,1536184,1536460,1536493,1536145,1536217,1536338,1536640,1536083,1536768,1535795,1536392,1536222,1536096,1536463,1536048,1536368,1536354,1536211,1536297,1536604,1536220,1536246,1536414,1536341,1536253,1536037,1536571,1536168,1536450,1536240,1536404,1536597,1536289,1536647,1536303,1536352,1536241,1536579,1536405,1536159,1536339,1536261,1536175,1536277,1536347,1536517,1536259,1536495,1536370,1536090,1536227,1536339,1536422,1536253,1536435,1536462,1536377,1536465,1536508,1536076,1536583
QuickSort,3111370,3176072,3134509,2970529,3220668,3000902,3203640,3160345,3035835,3236949,3026467,3049516,2994138,3157698,3052006,2871986,3071143,3350247,3015742,2965290,3220197,3133022,3124285,3158351,3210911,2948689,3125107,3022399,3153701,3154770,3264633,3279724,3007458,3074695,3079336,3001560,3078936,3088613,2979048,3051183,3087315,3354483,3318514,3011382,3114648,3141748,3088047,3035302,3087548,3075901,2918803,3193514,3077589,3098680,3067924,3205423,3127667,3085580,3099207,3078774,2963415,2871405,3029400,2958929,3212423,3153498,3011993,2983308,3153419,3059504,3135706,3066120,3019217,3044215,2983969,3162749,3228893,3064737,3150937,2979206,2921071,3065132,3091753,2964538,3170276,3033575,3035827,3034955,3094821,2972848,3066983,3209175,3034407,3038098,3047732,3300272,2990753,3036347,2943339,3043984
